string
description: px_shifted, calibration parameter: [ 1.19531225e-04 -2.30194563e-02  6.18194146e+02]
converted file:R_100ms_Fe_S3_x_1_39_binned_y back: data/dark_100msRZP-structure:___RZP_S3100msRoi:[0, 1040, 2048, 2048]
eV counts/s
618.1712462133476 1699693.2
618.1485853507007 1633345.6
618.1261635505048 2039183.5
618.1039808127597 2442563.2
618.0820371374655 2041444.9
618.0603325246223 1989070.8
618.0388669742298 2032747.0
618.0176404862883 1982559.2
617.9966530607976 2147419.5
617.9759046977579 2642612.2
617.955395397169 2438598.5
617.9351251590311 2120897.0
617.9150939833439 1937554.8
617.8953018701078 1877203.8
617.8757488193226 1905833.5
617.8564348309881 1660865.2
617.8373599051046 2069267.2
617.8185240416719 1915598.9
617.7999272406903 2506329.5
617.7815695021593 2445609.8
617.7634508260794 2096687.6
617.7455712124504 1853733.8
617.7279306612722 1600584.9
617.7105291725449 1660549.0
617.6933667462686 1877867.6
617.676443382443 1932105.2
617.6597590810685 2059797.2
617.6433138421447 2055734.2
617.6271076656718 2120375.2
617.6111405516499 2042430.0
617.5954125000789 2111211.0
617.5799235109587 2586640.2
617.5646735842894 2080684.0
617.5496627200711 2113118.2
617.5348909183035 2385687.2
617.520358178987 2128838.0
617.5060645021213 2338068.5
617.4920098877064 2742773.8
617.4781943357425 2719113.0
617.4646178462295 2838098.0
617.4512804191673 2937664.5
617.4381820545561 2779720.2
617.4253227523957 2772857.0
617.4127025126862 2424015.0
617.4003213354276 2438724.0
617.3881792206199 2233826.8
617.3762761682632 1969899.8
617.3646121783572 1801704.5
617.3531872509022 1662163.1
617.342001385898 2059552.6
617.3310545833449 1745716.2
617.3203468432424 1692048.2
617.309878165591 1945290.8
617.2996485503904 2053578.9
617.2896579976408 1620807.4
617.2799065073419 1544661.9
617.270394079494 1988082.4
617.261120714097 2392830.5
617.2520864111508 2725297.0
617.2432911706557 3106610.0
617.2347349926113 3556476.2
617.2264178770179 3795670.5
617.2183398238752 3312741.0
617.2105008331837 2915395.5
617.2029009049428 2824785.0
617.195540039153 2601592.5
617.188418235814 2423384.2
617.1815354949258 2983307.5
617.1748918164886 2381276.5
617.1684872005023 2652078.0
617.1623216469668 2672154.5
617.1563951558823 2831760.2
617.1507077272486 3391497.5
617.1452593610658 3519627.2
617.140050057334 3650885.5
617.1350798160529 3365380.0
617.1303486372229 3241924.5
617.1258565208436 3559362.2
617.1216034669154 4047061.2
617.1175894754379 5045305.5
617.1138145464114 5340247.0
617.1102786798357 4443819.5
617.106981875711 3817588.8
617.1039241340371 3626771.2
617.1011054548142 3376024.8
617.0985258380421 2962909.5
617.0961852837207 3606211.2
617.0940837918505 3522274.8
617.092221362431 3122507.2
617.0905979954625 3338894.5
617.0892136909449 3742471.5
617.0880684488782 4576344.5
617.0871622692623 5006718.0
617.0864951520974 5298502.0
617.0860670973833 6472170.0
617.0858781051202 6902828.0
617.0859281753078 6753081.0
617.0862173079464 5583839.5
617.0867455030359 4618674.0
617.0875127605763 3720097.0
617.0885190805675 2754237.8
617.0897644630096 1811664.8
617.0912489079027 1496774.9
617.0929724152465 1670172.5
617.0949349850415 1481786.1
617.0971366172871 1269003.5
617.0995773119838 1434753.6
617.1022570691313 1740024.2
617.1051758887297 1457921.9
617.1083337707789 1602113.2
617.1117307152791 1830295.8
617.1153667222302 1922918.1
617.1192417916321 2214614.0
617.123355923485 2601712.8
617.1277091177888 2926123.8
617.1323013745433 2841366.0
617.1371326937488 3399507.0
617.1422030754052 4237367.5
617.1475125195125 4884858.0
617.1530610260706 5059394.5
617.1588485950797 5418834.5
617.1648752265397 6094172.0
617.1711409204505 6202295.5
617.1776456768123 5756062.5
617.1843894956249 5825804.0
617.1913723768885 5501631.0
617.1985943206029 6085590.5
617.2060553267681 6747756.0
617.2137553953843 6610874.0
617.2216945264513 5106671.0
617.2298727199694 3988301.0
617.2382899759382 2860323.8
617.246946294358 2498136.8
617.2558416752286 1501181.1
617.2649761185502 1002443.25
617.2743496243226 1116152.1
617.2839621925459 1032182.1
617.29381382322 766586.8
617.3039045163453 975108.4
617.3142342719211 872060.1
617.3248030899481 1021062.75
617.3356109704258 838524.9
617.3466579133545 552738.94
617.357943918734 707597.2
617.3694689865644 737808.2
617.3812331168458 712977.9
617.3932363095779 586028.4
617.4054785647611 647566.4
617.417959882395 720654.44
617.43068026248 794792.56
617.4436397050157 1139993.2
617.4568382100024 1420985.6
617.47027577744 1981083.1
617.4839524073284 2395202.2
617.4978680996677 3312806.5
617.512022854458 4070777.2
617.526416671699 5103847.0
617.5410495513911 6038078.0
617.555921493534 7017290.0
617.5710324981277 6285149.5
617.5863825651725 4937775.5
617.601971694668 3964544.5
617.6177998866144 3033736.2
617.6338671410118 2872914.8
617.6501734578601 2456160.5
617.6667188371591 3060966.0
617.6835032789093 3425659.5
617.70052678311 3685215.2
617.7177893497619 3778083.0
617.7352909788646 3945619.0
617.7530316704182 4592728.0
617.7710114244226 4260916.0
617.7892302408779 3813134.5
617.8076881197842 3555740.2
617.8263850611413 4555559.5
617.8453210649494 6246264.0
617.8644961312083 7267952.5
617.8839102599181 8777896.0
617.9035634510788 10664578.0
617.9234557046905 14084321.0
617.9435870207528 14658428.0
617.9639573992663 12470854.0
617.9845668402305 10744182.0
618.0054153436457 8761651.0
618.0265029095117 6133372.5
618.0478295378288 4029470.0
618.0693952285965 3081567.2
618.0911999818152 2985741.5
618.1132437974848 2158085.2
618.1355266756052 2046817.6
618.1580486161766 1774304.0
618.180809619199 1397907.4
618.2038096846721 951990.3
618.2270488125961 1249136.5
618.2505270029711 1220524.6
618.2742442557969 1160873.5
618.2982005710737 939840.94
618.3223959488013 1133234.1
618.3468303889798 1180309.2
618.3715038916091 997734.75
618.3964164566895 1102072.2
618.4215680842207 1247699.8
618.4469587742026 1195903.2
618.4725885266356 1196116.0
618.4984573415195 997519.7
618.5245652188543 916273.7
618.5509121586398 1043193.7
618.5774981608764 891089.6
618.6043232255638 1163322.4
618.6313873527021 1003651.94
618.6586905422912 1084219.5
618.6862327943314 1699190.1
618.7140141088223 2450796.0
618.7420344857642 3702451.0
618.7702939251569 5509858.0
618.7987924270005 6904269.5
618.827529991295 8082714.0
618.8565066180404 10093046.0
618.8857223072368 10183236.0
618.915177058884 8878675.0
618.944870872982 7674261.0
618.974803749531 5961200.0
619.004975688531 4563421.0
619.0353866899817 3840713.8
619.0660367538834 3417849.0
619.0969258802359 3383915.5
619.1280540690393 2461899.5
