string
description: Fe
filedata_intensity/210205_PM012548_calibrated_analytical cal:filter / ccd / qe see cal files
eV Nphoton/s *sr @ 0.1%bw
667.0119018554688 3474987834.4067464
667.1742553710938 4338231066.904427
667.3366088867188 4954019002.912993
667.4990234375 5571442790.930891
667.6615600585938 5287195725.716145
667.8240966796875 4953979933.42529
667.9867553710938 4906408710.86178
668.1494140625 5031262995.447213
668.312255859375 5009331432.008171
668.4750366210938 4909173891.151197
668.637939453125 4971605201.959296
668.8009033203125 5147458641.583958
668.9639282226562 5183645393.665656
669.1270751953125 5223231398.57958
669.2902221679688 5290709546.049867
669.4534301757812 5569894780.142174
669.6167602539062 5615671567.756784
669.7800903320312 5385970657.505764
669.9435424804688 5435489610.219958
670.1070556640625 5456123796.161543
670.2706298828125 5504272425.188329
670.4342041015625 5308746261.122303
670.5979614257812 5487122286.989745
670.76171875 5616828007.65467
670.925537109375 5840850225.8501005
671.0894165039062 5723743077.74068
671.2533569335938 5837570806.048391
671.41748046875 6091910020.154491
671.58154296875 6162210227.211011
671.7456665039062 6491027338.983388
671.909912109375 6795103549.065152
672.07421875 6944015492.574116
672.2385864257812 6879286531.5417385
672.4030151367188 6549475395.336375
672.5675659179688 6248308212.576345
672.7321166992188 5973761554.635484
672.896728515625 5943254491.18861
673.0614624023438 5839435311.02479
673.2261962890625 5597249802.1043005
673.3910522460938 5605786721.854652
673.555908203125 5453504504.722352
673.7208862304688 5376526380.374094
673.885986328125 5280345068.703721
674.0510864257812 5173280981.274788
674.2162475585938 5146958185.382816
674.3814697265625 5155394116.389221
674.5468139648438 5062779615.116261
674.712158203125 4896061540.649273
674.8776245117188 4739426880.228272
675.0430908203125 4817178201.465767
675.2086791992188 5124686453.906237
675.3743286132812 4968439644.560005
675.5400390625 4913583610.301013
675.7058715820312 4824244633.147332
675.8717041015625 4822872190.416648
676.03759765625 4930657199.5826435
676.20361328125 5077389259.525538
676.36962890625 4665507425.9865
676.5358276367188 4778917633.599341
676.7019653320312 4718680902.143669
676.8681640625 4550028850.1175585
677.0345458984375 4564510810.409012
677.200927734375 4565712758.963502
677.3673706054688 4604913134.354223
677.533935546875 4633073464.62082
677.7005615234375 4672537517.910029
677.8671875 4693491621.313902
