string
description: W
filedata_intensity/210205_PM040653_calibrated_analytical cal:filter / ccd / qe see cal files
eV Nphoton/s *sr @ 0.1%bw
667.0119018554688 56685164986.23944
667.1742553710938 67927998528.444405
667.3366088867188 79130614478.9072
667.4990234375 86005686313.24823
667.6615600585938 86110247029.91533
667.8240966796875 86206352842.28572
667.9867553710938 86398124088.3495
668.1494140625 85734997642.29576
668.312255859375 85623254632.23605
668.4750366210938 86032134191.40755
668.637939453125 85998361476.18767
668.8009033203125 85535208527.02496
668.9639282226562 86204638483.17435
669.1270751953125 86707262800.0719
669.2902221679688 87210014030.6983
669.4534301757812 87458031392.75165
669.6167602539062 87498073488.28738
669.7800903320312 87877451460.77841
669.9435424804688 88159696263.28383
670.1070556640625 88313562450.59473
670.2706298828125 88329489575.38133
670.4342041015625 88288620477.06439
670.5979614257812 88724966082.55428
670.76171875 88982252776.9361
670.925537109375 88660906749.37282
671.0894165039062 88621050505.74425
671.2533569335938 88872636616.15257
671.41748046875 89353978983.00679
671.58154296875 89744713682.51543
671.7456665039062 89910242287.81544
671.909912109375 90062164781.56148
672.07421875 90516373911.60277
672.2385864257812 90611422306.98285
672.4030151367188 89850469630.98792
672.5675659179688 89883563776.16132
672.7321166992188 90080369095.4689
672.896728515625 90188882464.74716
673.0614624023438 90587762223.00322
673.2261962890625 90825320526.85213
673.3910522460938 90650992672.22673
673.555908203125 90603213467.03305
673.7208862304688 91095941471.67422
673.885986328125 91513043758.49113
674.0510864257812 91445020584.42058
674.2162475585938 91677122138.58957
674.3814697265625 92536918174.24176
674.5468139648438 93005538343.53287
674.712158203125 92399411689.08635
674.8776245117188 92399934735.79364
675.0430908203125 92710484769.74983
675.2086791992188 93178551224.23691
675.3743286132812 93511904984.49426
675.5400390625 93524151650.19125
675.7058715820312 93826487100.8922
675.8717041015625 93763732948.79945
676.03759765625 93102372925.81924
676.20361328125 92658129459.8703
676.36962890625 93078922721.40514
676.5358276367188 93362342371.3221
